taxon_name,total_bases,full_lineage,taxid_lineage,taxid
WU Polyomavirus,5229,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Betapolyomavirus;Betapolyomavirus quartihominis;WU Polyomavirus,10239;2731342;2732092;2732415;2732421;2732532;151341;1891714;1891765;440266,440266
Human bocavirus 2c PK,5196,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;Bocaparvovirus primate2;Human bocavirus 2c PK,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;3052041;1511882,1511882
Betapolyomavirus hominis,5153,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Betapolyomavirus;Betapolyomavirus hominis,10239;2731342;2732092;2732415;2732421;2732532;151341;1891714;1891762,1891762
JC polyomavirus,5130,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Betapolyomavirus;Betapolyomavirus secuhominis;JC polyomavirus,10239;2731342;2732092;2732415;2732421;2732532;151341;1891714;1891763;10632,10632
New Jersey polyomavirus-2013,5108,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Alphapolyomavirus;Alphapolyomavirus terdecihominis;New Jersey polyomavirus-2013,10239;2731342;2732092;2732415;2732421;2732532;151341;1891713;1891728;1497391,1497391
Human bocavirus 4 NI,5104,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;Bocaparvovirus primate2;Human bocavirus 4 NI,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;3052041;1511883,1511883
Betapolyomavirus tertihominis,5040,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Betapolyomavirus;Betapolyomavirus tertihominis,10239;2731342;2732092;2732415;2732421;2732532;151341;1891714;1891764,1891764
Human polyomavirus 9,5026,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Alphapolyomavirus;Alphapolyomavirus nonihominis;Human polyomavirus 9,10239;2731342;2732092;2732415;2732421;2732532;151341;1891713;2955297;943908,943908
Bat-associated densovirus 3,4967,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Blattambidensovirus;Blattambidensovirus incertum4;Bat-associated densovirus 3,10239;2731342;2732092;2732415;2732422;2732534;10780;40120;2733224;3059785;3070187,3070187
Human polyomavirus 7,4952,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Deltapolyomavirus septihominis;Human polyomavirus 7,10239;2731342;2732092;2732415;2732421;2732532;151341;1891715;2955745;746831,746831
MW polyomavirus,4927,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Deltapolyomavirus decihominis;MW polyomavirus,10239;2731342;2732092;2732415;2732421;2732532;151341;1891715;1208309;1203539,1203539
