taxid,contig_count,total_bp,Code,Name,Lineage,LineageTaxIDs,Rank,FullLineage,FullLineageTaxIDs,FullLineageRanks
1639133.0,6,10091992,1639133.0,Citrobacter portucalensis,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter portucalensis,2;1224;1236;91347;543;544;1639133,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter portucalensis,131567;2;1224;1236;91347;543;544;1344959;1639133,no rank;superkingdom;phylum;class;order;family;genus;species group;species
61652.0,2,10051188,61652.0,Serratia rubidaea,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia rubidaea,2;1224;1236;91347;1903411;613;61652,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia rubidaea,131567;2;1224;1236;91347;1903411;613;61652,no rank;superkingdom;phylum;class;order;family;genus;species
69218.0,8,10001324,69218.0,Enterobacter cancerogenus,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cancerogenus,2;1224;1236;91347;543;547;69218,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter cancerogenus,131567;2;1224;1236;91347;543;547;354276;69218,no rank;superkingdom;phylum;class;order;family;genus;species group;species
29484.0,2,9934709,29484.0,Yersinia frederiksenii,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia frederiksenii,2;1224;1236;91347;1903411;629;29484,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia frederiksenii,131567;2;1224;1236;91347;1903411;629;29484,no rank;superkingdom;phylum;class;order;family;genus;species
67827.0,3,9934402,67827.0,Citrobacter werkmanii,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter werkmanii,2;1224;1236;91347;543;544;67827,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter werkmanii,131567;2;1224;1236;91347;543;544;1344959;67827,no rank;superkingdom;phylum;class;order;family;genus;species group;species
2778070.0,2,9798102,2778070.0,Amycolatopsis sp. FDAARGOS 1241,Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis sp. FDAARGOS 1241,2;201174;1760;85010;2070;1813;2778070,species,cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;unclassified Amycolatopsis;Amycolatopsis sp. FDAARGOS 1241,131567;2;1783272;201174;1760;85010;2070;1813;2618356;2778070,no rank;superkingdom;clade;phylum;class;order;family;genus;no rank;species
4956.0,7,9764635,4956.0,Zygosaccharomyces rouxii,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces rouxii,2759;4890;4891;4892;4893;4953;4956,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces rouxii,131567;2759;33154;4751;451864;4890;716545;147537;4891;4892;4893;4953;4956,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;class;order;family;genus;species
611.0,3,9760041,611.0,Salmonella enterica subsp. enterica serovar Heidelberg,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,2;1224;1236;91347;543;590;28901,no rank,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Heidelberg,131567;2;1224;1236;91347;543;590;28901;59201;611,no rank;superkingdom;phylum;class;order;family;genus;species;subspecies;no rank
676.0,4,9695281,676.0,Vibrio fluvialis,Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio fluvialis,2;1224;1236;135623;641;662;676,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio fluvialis,131567;2;1224;1236;135623;641;662;676,no rank;superkingdom;phylum;class;order;family;genus;species
299767.0,2,9674153,299767.0,Enterobacter ludwigii,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii,2;1224;1236;91347;543;547;299767,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter ludwigii,131567;2;1224;1236;91347;543;547;354276;299767,no rank;superkingdom;phylum;class;order;family;genus;species group;species
